ID,#_Shazam_fr,#_votes_itunes,Artiste,Duree,Genre,Note_Moyenne_itunes,Sortie,Title
5168153,2441124,18,Alicia Keys,1,R&B/Soul,4.0,5 juin 2001,Fallin'
260831498,7419760,212,Twenty One Pilots,5,Alternative,4.8,17 mai 2015,Ride
444703242,43805,-,DJ Palacios,3,Latino,-,19 oct. 2018,MIA
76223190,8950879,847,Bruno Mars,3,Pop,4.4,7 déc. 2012,When I Was Your Man
5220968,2053389,-,Fine Young Cannibals,3,Pop,-,1 janv. 1988,She Drives Me Crazy
411604626,46456,70,Ninho,4,Hip-hop/Rap,4.6,30 mars 2018,Fendi
416897655,16296,-,Maesic & Lucas Marx,1,Électronique,-,8 juin 2018,There In The Morning
373808334,1204660,104,U2,1,Rock,3.8,1 déc. 2017,You’re The Best Thing About Me
417290316,63598,-,Koba LaD,1,Hip-hop/Rap,-,11 mai 2018,Ténébreux #1
449190011,37318,-,J Balvin,2,Urban latin,-,17 nov. 2018,Reggaeton
52863252,3986694,14,Diddy & Dirty Money Feat. Skylar Grey,1,Hip-hop/Rap,4.2,1 janv. 2010,Coming Home
5303872,1351156,-,Modern Talking,3,Pop,-,31 déc. 1984,"You're My Heart, You're My Soul"
425081521,160933,-,Gente De Zona,3,Salsa et tropiques,-,6 juin 2018,Te Duele
442166253,905,-,Orchestre Lamoureux,-,-,-,-,Baby I'm Yours (Orchestral Version)
45758072,3593376,-,MGMT,2,Alternative,-,30 août 2005,Kids
45597819,303328,6,Elton John,1,Pop,5.0,30 mai 1983,I'm Still Standing
5397968,859168,19,The Supermen Lovers,2,Électronique,4.9,3 sept. 2001,Starlight
361467774,1238400,6,Purple Disco Machine Feat. Joe Killington & Duane Harden,1,Dance,3.8,20 oct. 2017,Devil In Me
334379920,5913390,28,Childish Gambino,4,R&B/Soul,4.4,2 déc. 2016,Redbone
49498356,369766,147,Pony Pony Run Run,3,Alternative,4.6,31 mars 2009,Hey You
445146937,6648,151,Aya Nakamura Feat. Davido,3,R&B/Soul,3.5,2 nov. 2018,Gang
47739050,1479858,24,Jeremih,5,R&B/Soul,4.7,30 juin 2009,Birthday Sex
362862920,124594,-,Mat Bastard,2,Pop,-,30 juin 2017,Stand As One (Le Temps N'attend Personne;Edit)
430097701,37012,7,Columbine,3,Hip-hop/Rap,5.0,6 juil. 2018,Cache-Cache
369167893,2438938,-,Chris Brown Feat. Yo Gotti & A Boogie Wit da Hoodie & Kodak Black,4,R&B/Soul,-,4 août 2017,Pills & Automobiles
20146128,1261689,116,Usa For Africa,7,Rock,4.8,7 mars 1985,We Are The World
2882117,1159815,-,Status Quo,1,Rock,-,20 oct. 1979,Whatever You Want
40306113,427103,47,Louise Attaque,3,Rock,4.3,6 mars 1998,J't'emmène Au Vent
420157944,82347,-,Jolem Sanchez,1,Modern Dancehall,-,15 mai 2018,Comme À La Maison (Explicit)
437684930,5757,-,"M. Fischer, Solid Texture & RHz",3,Dance,-,14 sept. 2018,Won't Forget You
50137340,48374,8,Zaho,1,Pop,4.1,10 mars 2008,Je Te Promets (Edit Radio)
442659251,12104,-,Mayra Andrade,4,Musiques du monde,-,12 oct. 2018,Afeto
49967701,4388762,500,The XX,4,Alternative,4.7,14 août 2009,Intro
87759269,1171951,6,Disclosure Feat. Eliza Doolittle,4,Électronique,3.8,28 avr. 2013,You & Me
435522461,97338,-,Jerry On The Internet,9,Hip-hop/Rap,-,11 août 2018,Don't Ask Me About My Bread
45677393,553449,-,Century,1,Pop,-,7 janv. 2012,Lover Why
268853,2434984,-,The Clash,4,Punk,-,14 mai 1982,Should I Stay Or Should I Go
412371,1734229,-,Mike Oldfield,2,Rock,-,1 janv. 2012,Moonlight Shadow
428176803,343920,-,Martin Solveig,3,Dance,-,29 juin 2018,My Love
410027466,1017049,-,Flipp Dinero,3,Hip-hop/Rap,-,4 sept. 2018,Leave Me Alone
426818470,906002,-,Shakira & Maluma,3,Pop en espagnol,-,8 juin 2018,Clandestino
52870017,8732743,75,Adele,1,Pop,4.7,16 janv. 2011,Rolling In The Deep
53055596,1553443,241,Lykke Li,4,Alternative,4.2,28 févr. 2010,I Follow Rivers
314133,1426727,-,Wet Wet Wet,4,Pop,-,1 janv. 1995,Love Is All Around
427020198,10243,10,DJ Sem Feat. Caroliina & Sadek,1,R&B/Soul,5.0,22 juin 2018,Amigo
445146930,5811,151,Aya Nakamura,3,R&B/Soul,3.5,2 nov. 2018,Whine Up
416653579,544255,-,Tory Lanez & Rich The Kid,4,Hip-hop/Rap,-,26 oct. 2018,Talk To Me
417263797,109297,26,Vegedream,5,R&B/Soul,3.9,27 juil. 2018,Mama He
444691823,4484,5,Kofs,4,Hip-hop/Rap,5.0,16 nov. 2018,Je Saigne
240818,1206789,-,Marvin Gaye,3,R&B/Soul,-,26 août 1968,I Heard It Through The Grapevine
309638034,2037592,32,Michael Kiwanuka,5,R&B/Soul,4.3,15 juil. 2016,Cold Little Heart
404482122,5194073,28,Drake,1,Hip-hop/Rap,4.1,29 juin 2018,God's Plan
10314010,1846289,22,Metallica,1,Metal,4.9,12 août 1991,Enter Sandman
219788,2061824,19,Elton John,1,Pop,4.7,22 oct. 1976,Sorry Seems To Be The Hardest Word
334552,374028,-,Roger Glover,4,Rock,-,27 mai 1974,Love Is All
52657663,5261294,-,Lucenzo Feat. Don Omar,1,Urban latin,-,16 nov. 2010,Danza Kuduro
358314842,130060,-,HUGEL,3,Dance,-,16 juin 2017,Baby
309338134,628123,37,Jorja Smith,4,R&B/Soul,4.9,8 juin 2018,Blue Lights
375667315,1194884,5,Kalash Feat. Damso,1,Hip-hop/Rap,4.0,13 oct. 2017,Mwaka Moon
53922736,3972133,-,Azealia Banks Feat. Lazy Jay,1,Hip-hop/Rap,-,28 mai 2012,212
443516860,9066,90,Soolking,4,Hip-hop/Rap,4.3,2 nov. 2018,Youv
323476,759919,-,Jocelyn Brown,1,R&B/Soul,-,1 oct. 1984,Somebody Else's Guy
447543031,31927,-,Adelphoi Music,4,R&B/Soul,-,18 oct. 1980,Can You Feel It (The Jacksons Cover)
441178018,137132,75,Muse,1,Alternative,4.1,9 nov. 2018,Pressure
5252959,1427639,-,Stevie Wonder,4,R&B/Soul,-,21 mai 1985,Part-Time Lover
448416354,5344,-,DA Uzi,3,Hip-hop/Rap,-,9 nov. 2018,La Vraie Vie
407538682,2205154,11,DJ Snake,3,Dance,4.3,23 févr. 2018,Magenta Riddim
445880683,1420,-,Lewis Capaldi,3,Alternative,-,2 nov. 2018,Grace (Acoustic)
444923655,407899,-,Ellie Goulding & Diplo Feat. Swae Lee,3,Pop,-,24 oct. 2018,Close To Me
435298618,187910,54,PNL,3,Hip-hop/Rap,4.2,10 août 2018,91's
53662104,22107948,256,Gotye Feat. Kimbra,4,Alternative,4.2,19 août 2011,Somebody That I Used To Know
238145,2387398,25,AC/DC,1,Rock,4.8,27 oct. 1992,Highway To Hell
341219275,9283,-,Don Bryant,3,R&B/Soul,-,12 mai 2017,A Nickel And A Nail
217699,3126460,6,Bryan Adams,1,Rock,4.3,1 janv. 1991,I Do It For You (Everything I Do)
446939318,3652,-,Marnik & SMACK,-,-,-,-,Gam Gam (Extended Mix)
281280602,1866571,10,Møme Feat. Merryn Jeann,1,Électronique,4.9,8 avr. 2016,Aloha
336617526,779866,-,Armin Van Buuren & Vini Vici Feat. Hilight Tribe,3,Dance,-,12 déc. 2016,Great Spirit
328644,2667032,-,Laura Branigan,5,Pop,-,6 juin 1995,Self Control
357904032,5234310,-,CamelPhat & Elderbrook,1,Dance,-,23 juin 2017,Cola (Club Mix)
61496627,21752319,147,Passenger,1,Pop,4.4,24 févr. 2012,Let Her Go
333200,104734,-,Mel Carter,2,R&B/Soul,-,28 mai 1996,"Hold Me, Thrill Me, Kiss Me"
253341,3675769,-,Joan Jett & The Blackhearts,4,Rock,-,18 nov. 1981,I Love Rock N' Roll
412961246,786492,83,Cardi B Feat. Kehlani,4,Hip-hop/Rap,3.5,6 avr. 2018,Ring
230109,3358868,-,Dr. Dre Feat. Snoop Dogg,1,Hip-hop/Rap,-,16 nov. 1999,Still D.R.E.
343283,756451,-,The Korgis,1,Pop,-,5 août 2003,Everybody's Got To Learn Sometime
422888910,140603,44,L'Algérino Feat. Soolking,4,Hip-hop/Rap,3.2,22 juin 2018,Adios
11010880,3495346,5,Nelly Feat. Kelly Rowland,1,R&B/Soul,3.8,22 oct. 2002,Dilemma
433794194,12302,-,Rapaz 100 Juiz Feat. Calema Feat. Calema,4,Pop,-,30 juil. 2018,Preparado
