,Artiste,Titre,Listeners,Annee
229,julia-michaels,issues,163474,2017
230,rihanna,only-girl-in-the-world,598396,2011
231,rihanna,only-girl-in-the-world,598396,2010
232,imagine-dragons,its-time,659091,2013
233,imagine-dragons,its-time,659091,2012
234,21-savage,bank-account,105125,2017
235,alessia-cara,scars-to-your-beautiful,156880,2017
236,paramore,still-into-you,298318,2013
237,miley-cyrus,wrecking-ball,450666,2014
238,miley-cyrus,wrecking-ball,450666,2013
239,selena-gomez,hands-to-myself,190168,2016
240,paramore,the-only-exception,554580,2010
241,shawn-mendes,stitches,262331,2016
242,shawn-mendes,stitches,262331,2015
243,shawn-mendes,mercy,151886,2017
244,rihanna,s-m,594789,2011
245,halsey,now-or-never,135968,2017
246,bruno-mars,locked-out-of-heaven,584517,2013
247,the-chainsmokers,paris,179949,2017
248,demi-lovato,cool-for-the-summer,191253,2015
249,beyonce,7-11,255941,2015
250,lukas-graham,7-years,247344,2016
251,bruno-mars,when-i-was-your-man,444962,2013
252,x-ambassadors,renegades,227052,2015
253,christina-perri,a-thousand-years,319019,2012
254,justin-bieber,what-do-you-mean,315656,2016
255,justin-bieber,what-do-you-mean,315656,2015
256,taylor-swift,22,249483,2013
257,rihanna,rude-boy,782029,2010
258,beyonce,partition,229179,2014
259,selena-gomez,same-old-love,183810,2016
260,taylor-swift,you-belong-with-me,512459,2010
261,the-script,breakeven,615517,2010
262,fall-out-boy,my-songs-know-what-you-did-in-the-dark-light-em-up,354170,2013
263,selena-gomez-the-scene,love-you-like-a-love-song,290406,2012
264,fun,some-nights,600340,2013
265,fun,some-nights,600340,2012
266,owl-city,fireflies,766752,2010
267,lady-gaga,you-and-i,297944,2011
268,niall-horan,slow-hands,125321,2017
269,la-roux,bulletproof,672820,2010
270,american-authors,best-day-of-my-life,372183,2014
271,adele,water-under-the-bridge,171505,2017
272,lady-gaga,the-edge-of-glory,391769,2011
273,charli-xcx,boom-clap,322435,2014
274,tove-lo,talking-body,245608,2015
275,selena-gomez,the-heart-wants-what-it-wants,183654,2015
276,ellie-goulding,burn,498872,2014
277,ellie-goulding,burn,498872,2014
278,jon-bellion,all-time-low,115618,2017
279,jon-bellion,all-time-low,115618,2017
280,katy-perry,the-one-that-got-away,467256,2012
281,katy-perry,the-one-that-got-away,467256,2012
282,maroon-5,maps,339301,2014
283,nicki-minaj,super-bass,486111,2011
284,avicii,hey-brother,424514,2014
285,kongos,come-with-me-now,208008,2014
