,Artiste,Titre,Listeners,Unnamed: 3,Unnamed: 4
273,abba,dancing-queen,723799,,
274,anderson-paak,anywhere-feat-snoop-dogg-the-last-artful-dodgr,20369,,
275,queen,i-want-to-break-free-single-remix,104653,,
276,the-beatles,here-comes-the-sun-remastered-2009,147480,,
277,frank-ocean,self-control,143811,,
278,the-prodigy,light-up-the-sky,27448,,
279,kendrick-lamar,king-kunta,341365,,
280,gucci-mane,wake-up-in-the-sky,43079,,
281,kids-see-ghosts,4th-dimension,66906,,
282,anderson-paak,trippy-feat-j-cole,20227,,
283,ariana-grande,santa-tell-me,133712,,
284,muse,supermassive-black-hole,1347672,,
285,goo-goo-dolls,iris,1288571,,
286,the-smashing-pumpkins,1979-remastered-2012,42937,,
287,kanye-west,power,625978,,
288,imagine-dragons,demons,746424,,
289,foo-fighters,the-pretender,1208199,,
290,anderson-paak,mansa-musa-feat-dr-dre-cocoa-sarai,20009,,
291,the-prodigy,we-live-forever,22486,,
292,red-hot-chili-peppers,otherside,1350337,,
293,anitta,veneno,19678,,
294,lil-peep,sex-with-my-ex,19946,,
295,jennie,solo,19641,,
296,robyn,honey,32971,,
297,mariah-carey,a-no-no,19612,,
298,travi-scott,goosebumps,127992,,
299,queen,crazy-little-thing-called-love-remastered-2011,82707,,
300,lana-del-rey,mariners-apartment-complex,61222,,
301,imagine-dragons,whatever-it-takes,155557,,
302,queen,crazy-little-thing-called-love-remastered-2011,82707,,
303,twenty-one-pilots,ride,299606,,
304,ac-dc,back-in-black,1086250,,
305,smash-mouth,all-star,726325,,
306,coldplay,fix-you,1476213,,
307,m-i-a,paper-planes,1125255,,
308,jennie,solo,19641,,
309,little-mix,strip-feat-sharaya-j,19336,,
310,blackpink,ddu-du-ddu-du,45704,,
311,nirvana,heart-shaped-box,1128274,,
312,travi-scott,butterfly-effect,126378,,
313,papa-roach,last-resort,874894,,
314,rihanna,love-on-the-brain,186568,,
315,lil-peep,cry-alone,26036,,
316,kanye-west,all-mine,106593,,
317,lady-gaga,poker-face,1422187,,
318,travi-scott,yosemite,56414,,
319,florence-the-machine,dog-days-are-over,1111453,,
320,joji,test-drive,29052,,
321,imagine-dragons,zero-from-the-original-motion-picture-ralph-breaks-the-internet,32479,,
322,king-princess,1950,84112,,
323,oasis,wonderwall-remastered,155813,,
324,tyler-the-creator,911-mr-lonely,113609,,
325,imagine-dragons,bullet-in-a-gun,19078,,
326,lana-del-rey,summertime-sadness,747374,,
327,nirvana,lithium,1431116,,
328,kanye-west,stronger,1341116,,
329,kanye-west,ghost-town,85614,,
330,ariana-grande,santa-tell-me,133712,,
331,tyga,taste-feat-offset,71999,,
332,blink-182,i-miss-you,1036539,,
333,ariana-grande,successful,56355,,
334,red-hot-chili-peppers,scar-tissue,1360750,,
