,Artiste,Titre,Listeners,Unnamed: 3,Unnamed: 4
1258,travi-scott,yosemite,56414,,
1259,florence-the-machine,dog-days-are-over,1111453,,
1260,joji,test-drive,29052,,
1261,imagine-dragons,zero-from-the-original-motion-picture-ralph-breaks-the-internet,32479,,
1262,king-princess,1950,84112,,
1263,oasis,wonderwall-remastered,155813,,
1264,tyler-the-creator,911-mr-lonely,113609,,
1265,imagine-dragons,bullet-in-a-gun,19078,,
1266,lana-del-rey,summertime-sadness,747374,,
1267,nirvana,lithium,1431116,,
1268,kanye-west,stronger,1341116,,
1269,kanye-west,ghost-town,85614,,
1270,ariana-grande,santa-tell-me,133712,,
1271,tyga,taste-feat-offset,71999,,
1272,blink-182,i-miss-you,1036539,,
1273,ariana-grande,successful,56355,,
1274,red-hot-chili-peppers,scar-tissue,1360750,,
1275,anderson-paak,cheers-feat-q-tip,19036,,
1276,metro-boomin,overdue-with-travis-scott,18893,,
1277,aerosmith,dream-on,964577,,
1278,lana-del-rey,born-to-die,799725,,
1279,ariana-grande,better-off,54399,,
1280,simple-minds,dont-you-forget-about-me,666922,,
1281,depeche-mode,enjoy-the-silence,874094,,
1282,lorde,homemade-dynamite,148367,,
1283,mumford-sons,if-i-say,23460,,
1284,ariana-grande,raindrops-an-angel-cried,66484,,
1285,muse,starlight,1341181,,
1286,queen,youre-my-best-friend-remastered-2011,83362,,
1287,oasis,wonderwall,1865134,,
1288,radiohead,high-and-dry,1063834,,
1289,trippie-redd,topanga,21169,,
1290,the-kooks,naive,1091889,,
1291,ed-sheeran,perfect,203987,,
1292,tyler-the-creator,boredom,108596,,
1293,twenty-one-pilots,morph,50343,,
1294,harry-styles,sign-of-the-times,188090,,
1295,metro-boomin,dreamcatcher-feat-swae-lee-travis-scott,18522,,
1296,blur,song-2-2012-remastered-version,169246,,
1297,kids-see-ghosts,fire,70643,,
1298,lynyrd-skynyrd,sweet-home-alabama,1044324,,
1299,thom-yorke,suspirium,42574,,
1300,led-zeppelin,whole-lotta-love,914423,,
1301,eurythmics,sweet-dreams-are-made-of-this-remastered,163199,,
1302,the-weeknd,the-hills,350938,,
1303,kids-see-ghosts,cudi-montage,66328,,
1304,lorde,team,583373,,
1305,the-offspring,the-kids-arent-alright,969244,,
1306,bon-jovi,livin-on-a-prayer,899219,,
1307,jimmy-eat-world,the-middle,942575,,
1308,the-killers,when-you-were-young,1352221,,
1309,robyn,because-its-in-the-music,26451,,
1310,twenty-one-pilots,chlorine,40050,,
1311,bazzi,beautiful-feat-camila-cabello,60991,,
1312,queen,radio-ga-ga-remastered,26785,,
1313,queen,the-show-must-go-on,645579,,
1314,shawn-mendes,in-my-blood,102347,,
1315,britney-spears,baby-one-more-time,558827,,
1316,childish-gambino,feels-like-summer,74822,,
1317,lorde,the-louvre,133183,,
1318,eminem,lucky-you-feat-joyner-lucas,85370,,
1319,spice-girls,wannabe,391338,,
1320,bebe-rexha,im-a-mess,62918,,
1321,the-weeknd,i-feel-it-coming,228173,,
1322,of-monsters-and-men,little-talks,877145,,
1323,eagles,hotel-california-remastered,98186,,
1324,kanye-west,yikes,97040,,
1325,the-police,every-breath-you-take-remastered-2003,116970,,
1326,lorde,supercut,128969,,
1327,mac-miller,self-care,52092,,
1328,twenty-one-pilots,nico-and-the-niners,60477,,
1329,french-montana,no-stylist,35425,,
1330,evanescence,bring-me-to-life,1087845,,
1331,lil-peep,life-is-beautiful,17931,,
1332,camila-cabello,never-be-the-same,130371,,
1333,anne-marie,2002,87424,,
1334,frank-ocean,solo,145900,,
1335,the-cure,just-like-heaven,945385,,
1336,vampire-weekend,a-punk,1114903,,
1337,guns-n-roses,welcome-to-the-jungle,1233394,,
1338,no-doubt,dont-speak,974108,,
1339,the-who,baba-oriley,847656,,
1340,the-smiths,there-is-a-light-that-never-goes-out-2011-remastered-version,240313,,
1341,kendrick-lamar,love-feat-zacari,170764,,
1342,tyler-the-creator,who-dat-boy,115536,,
1343,drake,one-dance,325296,,
1344,brockhampton,bleach,79873,,
1345,lorde,sober,142405,,
1346,twenty-one-pilots,heathens,283806,,
1347,6ix9ine,fefe-feat-nicki-minaj-murda-beatz,67935,,
1348,bastille,pompeii,702927,,
1349,the-black-keys,lonely-boy,785102,,
1350,post-malone,congratulations,161128,,
1351,lady-gaga,telephone-feat-beyonce,688703,,
1352,post-malone,i-fall-apart,135552,,
1353,muse,algorithm-alternate-reality-version,17727,,
1354,little-mix,told-you-so,17689,,
1355,the-chainsmokers,something-just-like-this,207971,,
1356,hozier,movement,17934,,
1357,lil-peep,broken-smile-my-all,17620,,
1358,imagine-dragons,only,17641,,
1359,jay-rock,kings-dead-with-kendrick-lamar-future-james-blake,108125,,
1360,rihanna,umbrella,867084,,
1361,gnarls-barkley,crazy,1093265,,
1362,the-chainsmokers,beach-house,17923,,
1363,paramore,hard-times,148668,,
1364,marshmello,friends,125344,,
1365,the-rolling-stones,gimme-shelter,941692,,
1366,taylor-swift,ready-for-it,120018,,
1367,the-prodigy,no-tourists,17527,,
1368,florence-the-machine,hunger,96851,,
1369,zedd,the-middle,122073,,
1370,robyn,baby-forgive-me,25256,,
1371,my-chemical-romance,welcome-to-the-black-parade,834588,,
1372,sza,love-galore-feat-travis-scott,44663,,
1373,the-weeknd,cant-feel-my-face,444931,,
1374,johnny-cash,hurt,1071450,,
1375,adele,rolling-in-the-deep,1234724,,
1376,dennis-lloyd,nevermind,118232,,
1377,queen,ay-oh-live-aid,20254,,
1378,david-guetta,flames,114564,,
1379,sam-smith,too-good-at-goodbyes,159953,,
1380,bon-iver,holocene,693749,,
1381,troye-sivan,bloom,61345,,
1382,avril-lavigne,head-above-water,46591,,
1383,beyonce,halo,949349,,
1384,arctic-monkeys,arabella,498768,,
1385,selena-gomez,wolves,149439,,
1386,lana-del-rey,love,192577,,
1387,backstreet-boys,i-want-it-that-way,540976,,
1388,rita-ora,girls-feat-cardi-b-bebe-rexha-charli-xcx,59579,,
1389,onerepublic,counting-stars,632508,,
1390,the-beatles,glass-onion-2018-mix,17180,,
1391,kanye-west,black-skinhead,446692,,
1392,soft-cell,tainted-love,709499,,
1393,the-chainsmokers,closer,257925,,
1394,lukas-graham,love-someone,35305,,
1395,radiohead,fake-plastic-trees,1059952,,
1396,avicii,wake-me-up,646632,,
1397,red-hot-chili-peppers,dani-california,1251736,,
1398,slipknot,duality,614315,,
1399,mariah-carey,caution,17214,,
1400,imagine-dragons,digital,17076,,
1401,daughters,long-road-no-turns,19164,,
1402,arctic-monkeys,four-out-of-five,95556,,
1403,mumford-sons,42,17245,,
1404,travi-scott,stop-trying-to-be-god,58377,,
1405,vince-staples,brand-new-tyga-interlude,16979,,
1406,jason-mraz,im-yours,1269572,,
1407,lana-del-rey,young-and-beautiful,522616,,
1408,anderson-paak,sweet-chick-feat-bj-the-chicago-kid,17139,,
1409,the-chainsmokers,this-feeling,40454,,
1410,kids-see-ghosts,freeee-ghost-town-pt-2,63362,,
1411,mariah-carey,gtfo,26605,,
1412,the-cure,boys-dont-cry,955645,,
1413,frank-ocean,chanel,125777,,
1414,dexys-midnight-runners,come-on-eileen,554076,,
1415,the-smiths,this-charming-man-2011-remastered-version,173221,,
1416,xxxtentacion,bad,16741,,
1417,metro-boomin,up-to-something-feat-travis-scott-young-thug,16813,,
1418,green-day,american-idiot,970978,,
1419,paramore,misery-business,993996,,
1420,edward-sharpe-the-magnetic-zeros,home,813738,,
1421,the-strokes,someday,1097038,,
1422,mgmt,little-dark-age,106150,,
1423,mgmt,time-to-pretend,1387720,,
1424,ariana-grande,get-well-soon,49831,,
1425,john-mayer,new-light,64867,,
1426,mazzy-star,fade-into-you,470009,,
1427,passenger,let-her-go,671563,,
1428,the-1975,somebody-else,152653,,
1429,imagine-dragons,stuck,16669,,
1430,robyn,send-to-robin-immediately,24175,,
1431,billie-eilish,copycat,56901,,
1432,the-rolling-stones,sympathy-for-the-devil,977911,,
1433,david-guetta,say-my-name,40962,,
1434,ac-dc,thunderstruck,734881,,
1435,adele,someone-like-you,977027,,
1436,the-cranberries,linger,734929,,
1437,robyn,human-being,24299,,
1438,daughters,satan-in-the-wait,19426,,
1439,ed-sheeran,thinking-out-loud,504164,,
1440,bts,idol,39061,,
1441,the-1975,its-not-living-if-its-not-with-you,27506,,
1442,arctic-monkeys,when-the-sun-goes-down,949861,,
1443,queen,dont-stop-me-now,1020162,,
1444,taylor-swift,i-did-something-bad,73365,,
1445,kygo,born-to-be-yours,74292,,
1446,little-mix,think-about-us,16475,,
1447,demi-lovato,sorry-not-sorry,161454,,
1448,radiohead,paranoid-android,1328316,,
1449,rihanna,needed-me,239168,,
1450,pearl-jam,alive,940647,,
1451,foals,my-number,465550,,
1452,the-beatles,come-together-remastered-2009,109516,,
1453,lady-gaga,million-reasons,169619,,
1454,robyn,between-the-lines,23329,,
1455,kids-see-ghosts,kids-see-ghosts,63308,,
1456,lauv,i-like-me-better,131951,,
1457,cardi-b,bodak-yellow,147039,,
1458,keane,somewhere-only-we-know,1052615,,
1459,imagine-dragons,love,16363,,
1460,billie-eilish,my-boy,54618,,
1461,audioslave,like-a-stone,881116,,
1462,beck,loser,926261,,
1463,pusha-t,if-you-know-you-know,64177,,
1464,fleetwood-mac,go-your-own-way-2004-remastered-edition,109119,,
1465,muse,the-dark-side-alternate-reality-version,16276,,
1466,lana-del-rey,video-games-remastered,39402,,
1467,boston,more-than-a-feeling,899731,,
1468,jonas-blue,rise,73894,,
1469,peter-bjorn-and-john,young-folks,876335,,
1470,rosalia,pienso-en-tu-mira-cap-3-celos,21200,,
1471,drake,passionfruit,199827,,
1472,men-at-work,down-under,592429,,
1473,lady-gaga,look-what-i-found,31556,,
1474,kings-of-leon,use-somebody,1343966,,
1475,rita-ora,your-song,133074,,
1476,foster-the-people,worst-nites,16253,,
1477,bloc-party,banquet,1000328,,
1478,fall-out-boy,sugar-were-goin-down,564298,,
1479,dua-lipa,blow-your-mind-mwah,156373,,
1480,brockhampton,new-orleans,48006,,
1481,metro-boomin,10am-save-the-world-feat-gucci-mane,16083,,
1482,lana-del-rey,blue-jeans,722056,,
1483,kendrick-lamar,element,195712,,
1484,grizzly-bear,two-weeks,620243,,
1485,ariana-grande,blazed-feat-pharrell-williams,57924,,
1486,dua-lipa,be-the-one,171737,,
1487,ariana-grande,borderline-feat-missy-elliott,51325,,
1488,survivor,eye-of-the-tiger,909601,,
1489,anderson-paak,left-to-right,16131,,
1490,weezer,buddy-holly,989080,,
1491,selena-gomez,back-to-you-from-13-reasons-why-season-2-soundtrack,63243,,
1492,imagine-dragons,birds,15993,,
1493,joji,cant-get-over-you-feat-clams-casino,28125,,
1494,nicki-minaj,chun-li,80620,,
1495,lorde,tennis-court,499016,,
1496,the-carters,apeshit,78699,,
1497,pabllo-vittar,problema-seu,29194,,
1498,billie-eilish,bitches-broken-hearts,45419,,
1499,talking-heads,psycho-killer-2005-remastered-version,140941,,
1500,george-harrison,my-sweet-lord,531749,,
1501,elton-john,rocket-man-i-think-its-going-to-be-a-long-long-time,127496,,
1502,taylor-swift,style,188522,,
1503,radiohead,everything-in-its-right-place,976011,,
1504,the-lumineers,ho-hey,797671,,
1505,david-bowie,starman-2012-remastered-version,159988,,
1506,kanye-west,gold-digger,592963,,
1507,kendrick-lamar,alright,269328,,
1508,the-doors,riders-on-the-storm,865768,,
1509,lauv,theres-no-way-feat-julia-michaels,29896,,
1510,hall-oates,you-make-my-dreams,413872,,
1511,ed-sheeran,photograph,397713,,
1512,taylor-swift,wildest-dreams,173028,,
1513,outkast,hey-ya-radio-mix-club-mix,310070,,
1514,twenty-one-pilots,levitate,51966,,
1515,kavinsky,nightcall,458640,,
1516,whitney-houston,i-wanna-dance-with-somebody-who-loves-me,281313,,
1517,nickelback,how-you-remind-me,985872,,
1518,gorillaz,on-melancholy-hill,712113,,
1519,pabllo-vittar,disk-me,23888,,
1520,cyndi-lauper,girls-just-want-to-have-fun,731646,,
1521,beyonce,crazy-in-love,719884,,
1522,charlie-puth,attention,187081,,
1523,michael-buble,its-beginning-to-look-a-lot-like-christmas,283572,,
1524,miley-cyrus,party-in-the-u-s-a,626522,,
1525,mitski,nobody,47598,,
1526,avril-lavigne,complicated,687977,,
1527,arcade-fire,the-suburbs,640258,,
1528,beach-house,space-song,170395,,
1529,bobby-helms,jingle-bell-rock,399865,,
1530,lil-peep,save-that-shit,67466,,
1531,metro-boomin,no-more-feat-travis-scott-kodak-black-21-savage,15484,,
1532,arctic-monkeys,i-wanna-be-yours,417967,,
1533,blink-182,whats-my-age-again,869359,,
1534,tyler-the-creator,lights-on-feat-ryan-beatty-santigold,15760,,
1535,radiohead,weird-fishes-arpeggi,104252,,
1536,florence-the-machine,youve-got-the-love,897189,,
1537,fleetwood-mac,landslide,421172,,
1538,modest-mouse,float-on,1109046,,
1539,david-bowie,heroes-2017-remastered-version,55667,,
1540,arctic-monkeys,snap-out-of-it,433111,,
1541,khalid,love-lies-with-normani,103611,,
1542,britney-spears,oops-i-did-it-again,348466,,
1543,shakira,hips-dont-lie,548418,,
1544,blocboy-jb,look-alive-feat-drake,100355,,
1545,arctic-monkeys,505,606435,,
1546,travi-scott,carousel,62976,,
1547,guns-n-roses,november-rain,960769,,
1548,fleetwood-mac,everywhere-2017-remastered,40306,,
1549,joji,attention,22058,,
1550,kanye-west,famous,218458,,
1551,my-chemical-romance,teenagers,726043,,
1552,little-mix,wasabi,15399,,
1553,america,a-horse-with-no-name,477597,,
1554,mumford-sons,woman,15534,,
1555,pink-floyd,comfortably-numb,893963,,
1556,loud-luxury,body,77960,,
1557,daft-punk,one-more-time,1164357,,
1558,ariana-grande,love-me-harder,279242,,
1559,creedence-clearwater-revival,have-you-ever-seen-the-rain,430870,,
1560,kali-uchis,after-the-storm-feat-tyler-the-creator-bootsy-collins,73009,,
1561,motorhead,ace-of-spades,925277,,
1562,ac-dc,you-shook-me-all-night-long,811851,,
1563,plain-white-ts,hey-there-delilah,929751,,
1564,andy-williams,its-the-most-wonderful-time-of-the-year,319871,,
1565,sufjan-stevens,mystery-of-love,77789,,
1566,bts,fake-love,49119,,
1567,travi-scott,no-bystanders,52504,,
1568,frank-ocean,white-ferrari,122933,,
1569,avicii,lonely-together-feat-rita-ora,128137,,
1570,little-mix,monster-in-me,15198,,
1571,fleet-foxes,mykonos,638809,,
1572,foo-fighters,best-of-you,1130688,,
1573,mgmt,when-you-die,91147,,
1574,bon-jovi,you-give-love-a-bad-name,751556,,
1575,lady-gaga,born-this-way,549708,,
1576,the-fray,how-to-save-a-life,1128959,,
1577,arctic-monkeys,mardy-bum,1069389,,
1578,kanye-west,all-of-the-lights,705263,,
1579,pearl-jam,even-flow,859876,,
1580,guns-n-roses,paradise-city,1094644,,
1581,incubus,drive,936120,,
1582,lady-gaga,just-dance,1014277,,
1583,rosalia,di-mi-nombre-cap-8-extasis,15106,,
1584,thundercat,king-of-the-hill,15094,,
1585,kansas,carry-on-wayward-son,647478,,
1586,kendrick-lamar,loyalty-feat-rihanna,170435,,
1587,clean-bandit,symphony-feat-zara-larsson,144090,,
1588,travi-scott,r-i-p-screw,55703,,
1589,tyler-the-creator,where-this-flower-blooms,98460,,
1590,iggy-pop,the-passenger,772993,,
1591,coldplay,paradise,890642,,
1592,khalid,young-dumb-broke,142143,,
1593,walk-the-moon,shut-up-and-dance,385366,,
1594,metro-boomin,lesbian-feat-gunna-young-thug,14878,,
1595,brockhampton,jouvert,41987,,
1596,architects,hereafter,20626,,
1597,4-non-blondes,whats-up,334084,,
1598,led-zeppelin,black-dog,877157,,
1599,lorde,hard-feelings-loveless,109903,,
1600,billie-eilish,watch,67333,,
1601,daughters,the-flammable-man,16505,,
1602,the-shins,new-slang,996648,,
1603,travi-scott,wake-up,55128,,
1604,mariah-carey,with-you,20447,,
1605,imagine-dragons,burn-out,14754,,
1606,juice-wrld,armed-and-dangerous,14910,,
1607,neutral-milk-hotel,in-the-aeroplane-over-the-sea,578478,,
1608,the-smashing-pumpkins,knights-of-malta,14805,,
1609,exo,tempo,14709,,
1610,ke-ha,tik-tok,1310988,,
1611,adele,hello,397273,,
1612,zedd,happy-now,57297,,
1613,brenda-lee,rockin-around-the-christmas-tree-single-version,83851,,
1614,rita-ora,only-want-you,15385,,
1615,echo-the-bunnymen,the-killing-moon,571428,,
1616,bazzi,mine,111053,,
1617,the-prodigy,champions-of-london,14642,,
1618,rex-orange-county,loving-is-easy,73462,,
1619,jet,are-you-gonna-be-my-girl,1004334,,
1620,daft-punk,instant-crush-feat-julian-casablancas,580480,,
1621,the-temper-trap,sweet-disposition,878046,,
1622,royal-blood,figure-it-out,236301,,
1623,arcade-fire,everything-now,150735,,
1624,lou-reed,walk-on-the-wild-side,719544,,
1625,gotye,somebody-that-i-used-to-know,1024152,,
1626,carly-rae-jepsen,call-me-maybe,758259,,
1627,james-arthur,say-you-wont-let-go,190697,,
1628,imagine-dragons,real-life,14562,,
1629,lil-peep,leanin,14604,,
1630,fall-out-boy,dance-dance,747483,,
1631,coldplay,clocks,1604470,,
1632,the-black-keys,howlin-for-you,599981,,
1633,little-mix,love-a-girl-right,14498,,
1634,shawn-mendes,treat-you-better,215952,,
1635,muse,hysteria,1153281,,
1636,the-1975,tootimetootimetootime,42501,,
1637,rihanna,we-found-love-feat-calvin-harris,738159,,
1638,little-mix,american-boy,14432,,
1639,fleetwood-mac,dreams-2004-remastered-edition,115325,,
1640,brockhampton,sweet,74501,,
1641,creedence-clearwater-revival,bad-moon-rising,818464,,
1642,robyn,beach2k20,21003,,
1643,carly-rae-jepsen,run-away-with-me,155624,,
1644,lana-del-rey,venice-bitch,46877,,
1645,pink-floyd,money,930640,,
1646,eminem,without-me,757860,,
1647,shawn-mendes,theres-nothing-holdin-me-back,169464,,
1648,bring-me-the-horizon,mantra,39826,,
1649,sam-smith,stay-with-me,495170,,
1650,metro-boomin,only-you-feat-wizkid-offset-j-balvin,14318,,
1651,3-doors-down,kryptonite,1038565,,
1652,jessie-j,bang-bang,347499,,
1653,system-of-a-down,b-y-o-b,946479,,
1654,anitta,nao-perco-meu-tempo,14285,,
1655,camila-cabello,real-friends,94395,,
1656,justin-bieber,sorry,339750,,
1657,tyler-the-creator,potato-salad,24177,,
1658,red-hot-chili-peppers,by-the-way,1151667,,
1659,george-ezra,budapest,411361,,
1660,brockhampton,gold,77133,,
1661,troye-sivan,lucky-strike,40832,,
1662,the-jackson-5,i-want-you-back,788914,,
1663,metro-boomin,borrowed-love-feat-swae-lee-wizkid,14237,,
1664,tlc,no-scrubs,529614,,
1665,khalid,location,163974,,
1666,radiohead,reckoner,900639,,
1667,dua-lipa,want-to,41000,,
1668,earl-sweatshirt,the-mint-feat-navy-blue,15079,,
1669,lil-peep,16-lines,14992,,
1670,alice-in-chains,would,683380,,
1671,new-order,blue-monday-2016-remastered-version,54515,,
1672,katy-perry,i-kissed-a-girl,1179693,,
1673,kanye-west,heartless,1062924,,
1674,taylor-swift,i-knew-you-were-trouble,159592,,
1675,michael-jackson,beat-it-single-version,321901,,
1676,nicki-minaj,bed-feat-ariana-grande,78748,,
1677,janelle-monae,make-me-feel,91442,,
1678,daughters,the-lords-song,15774,,
1679,rosalia,que-no-salga-la-luna-cap-2-boda,14138,,
1680,zayn,no-candle-no-light-feat-nicki-minaj,14278,,
1681,childish-gambino,summertime-magic,91351,,
1682,queen,we-are-the-champions-live-aid,16465,,
1683,kanye-west,father-stretch-my-hands-pt-1,177986,,
1684,weezer,island-in-the-sun,983295,,
1685,kendrick-lamar,m-a-a-d-city,257923,,
1686,queen,the-show-must-go-on-remastered-2011,83103,,
1687,metro-boomin,only-1-interlude-with-travis-scott,14011,,
1688,tame-impala,new-person-same-old-mistakes,191512,,
1689,system-of-a-down,aerials,926578,,
1690,joji,will-he,69027,,
1691,lady-gaga,why-did-you-do-that,26639,,
1692,zara-larsson,lush-life,269473,,
1693,lady-gaga,alejandro,824347,,
1694,brockhampton,1999-wildfire,45252,,
1695,lil-wayne,mona-lisa-feat-kendrick-lamar,49403,,
1696,david-bowie,space-oddity-2015-remastered-version,124405,,
1697,slipknot,psychosocial,522664,,
1698,the-xx,crystalised,983023,,
1699,mark-ronson,uptown-funk,470861,,
1700,foo-fighters,learn-to-fly,1038164,,
1701,kanye-west,violent-crimes,75779,,
1702,tiesto,jackie-chan,83077,,
1703,joji,wanted-u,19395,,
1704,little-mix,the-cure,13987,,
1705,the-rolling-stones,i-cant-get-no-satisfaction,893084,,
1706,daughters,less-sex,15580,,
1707,queen,hammer-to-fall-live-aid,16570,,
1708,daft-punk,harder-better-faster-stronger,1218139,,
1709,taylor-swift,gorgeous,98847,,
1710,queen,who-wants-to-live-forever,461727,,
1711,lorde,writer-in-the-dark,112137,,
1712,rosalia,bagdad-cap-7-liturgia,13990,,
1713,jonas-blue,polaroid,24625,,
1714,alan-walker,faded,251772,,
1715,joji,no-fun,19601,,
1716,ariana-grande,be-alright,114649,,
1717,mike-will-made-it,the-mantra-from-creed-ii-the-album,14045,,
1718,george-michael,careless-whisper,492967,,
1719,ariana-grande,greedy,91348,,
1720,john-legend,all-of-me,479726,,
1721,radiohead,jigsaw-falling-into-place,865120,,
1722,travi-scott,cant-say,46468,,
1723,milky-chance,stolen-dance,433580,,
1724,travi-scott,skeletons,52261,,
1725,elton-john,tiny-dancer,624130,,
1726,the-human-league,dont-you-want-me,389236,,
1727,yeah-yeah-yeahs,heads-will-roll,741515,,
1728,p-nk,a-million-dreams,17811,,
1729,kendrick-lamar,backseat-freestyle,344761,,
1730,ghost,dance-macabre,44922,,
1731,bruno-mars,thats-what-i-like,194124,,
1732,the-weeknd,pray-for-me-with-kendrick-lamar,118465,,
1733,phoenix,lisztomania,874832,,
1734,queen,we-will-rock-you,1008099,,
1735,twenty-one-pilots,smithereens,34922,,
1736,weezer,say-it-aint-so,799532,,
1737,natalie-imbruglia,torn,800575,,
1738,arctic-monkeys,tranquility-base-hotel-casino,72521,,
1739,justin-bieber,love-yourself,293723,,
1740,green-day,wake-me-up-when-september-ends,999719,,
1741,mac-demarco,chamber-of-reflection,196996,,
1742,lorde,ribs,328361,,
1743,frank-ocean,lost,369833,,
1744,massive-attack,angel,880941,,
1745,outkast,ms-jackson,846760,,
1746,cream,sunshine-of-your-love,904463,,
1747,sixpence-none-the-richer,kiss-me,673562,,
1748,lauren-jauregui,expectations,19404,,
1749,daughters,the-reason-they-hate-me,16370,,
1750,twenty-one-pilots,neon-gravestones,33833,,
1751,daniel-caesar,get-you-feat-kali-uchis,85120,,
1752,french-montana,unforgettable,167563,,
1753,buffalo-springfield,for-what-its-worth,682081,,
1754,portishead,glory-box,854096,,
1755,rise-against,savior,535257,,
1756,linkin-park,what-ive-done,948868,,
1757,unknown-mortal-orchestra,hunnybee,54692,,
1758,beach-house,lemon-glow,80375,,
1759,britney-spears,womanizer,701073,,
1760,black-sabbath,paranoid-2009-remastered-version,77626,,
1761,lil-baby,never-recover-lil-baby-gunna-drake,24194,,
1762,ariana-grande,break-free,315633,,
1763,blind-melon,no-rain,643961,,
1764,twenty-one-pilots,the-hype,32918,,
1765,linkin-park,one-step-closer,975922,,
1766,lil-baby,drip-too-hard,26419,,
1767,frank-ocean,super-rich-kids,327717,,
1768,sam-smith,im-not-the-only-one,397157,,
1769,vince-staples,norf-norf,119104,,
1770,dnce,cake-by-the-ocean,270826,,
1771,xxxtentacion,changes,69234,,
1772,pabllo-vittar,seu-crime,21130,,
1773,the-prodigy,boom-boom-tap,13467,,
1774,rihanna,work,277700,,
1775,david-bowie,life-on-mars-2015-remastered-version,141567,,
1776,kaleo,way-down-we-go,187738,,
1777,kanye-west,i-thought-about-killing-you,81232,,
1778,bebe-rexha,meant-to-be-feat-florida-georgia-line,120381,,
1779,james-bay,let-it-go,282127,,
1780,fleetwood-mac,the-chain-2004-remastered-edition,93332,,
1781,paul-simon,you-can-call-me-al,580746,,
1782,blondie,call-me,549390,,
1783,queen,i-want-to-break-free-remastered-2011,90125,,
1784,florence-the-machine,shake-it-out,722326,,
1785,coldplay,hymn-for-the-weekend,254208,,
1786,drake,dont-matter-to-me-with-michael-jackson,53663,,
1787,slipknot,before-i-forget,770352,,
1788,khalid,saturday-nights,23674,,
1789,the-doors,break-on-through-to-the-other-side,1049297,,
1790,taylor-swift,end-game,78817,,
1791,led-zeppelin,kashmir,729812,,
1792,mariah-carey,the-distance-feat-ty-dolla-ign,17638,,
1793,architects,death-is-not-defeat,13409,,
1794,tame-impala,elephant,472368,,
1795,simon-garfunkel,mrs-robinson,772365,,
1796,twice,yes-or-yes,13498,,
1797,pink-floyd,another-brick-in-the-wall-pt-2,228354,,
1798,toto,hold-the-line,525330,,
1799,charli-xcx,boys,100722,,
1800,xxxtentacion,fuck-love-feat-trippie-redd,74842,,
1801,pink-floyd,time,859341,,
1802,cyndi-lauper,time-after-time,662940,,
1803,lorde,sober-ii-melodrama,108560,,
1804,fall-out-boy,thnks-fr-th-mmrs,688034,,
1805,radiohead,nude,837191,,
1806,kanye-west,ultralight-beam,173217,,
1807,ragnbone-man,human,178030,,
1808,aphex-twin,avril-14th,450805,,
1809,selena-gomez,bad-liar,145621,,
1810,mumford-sons,i-will-wait,627798,,
1811,lady-gaga,heal-me,26690,,
1812,kendrick-lamar,bitch-dont-kill-my-vibe,342656,,
1813,kanye-west,monster,288246,,
1814,radiohead,15-step,949622,,
1815,queen,fat-bottomed-girls-live-in-paris,16517,,
1816,joy-division,disorder-2007-remastered-version,129810,,
1817,phoenix,1901,924625,,
1818,panic-at-the-disco,say-amen-saturday-night,67365,,
1819,radiohead,burn-the-witch,263209,,
1820,lana-del-rey,west-coast,361925,,
1821,kaiser-chiefs,ruby,932775,,
1822,little-mix,more-than-words-feat-kamille,13210,,
1823,martin-garrix,scared-to-be-lonely,165245,,
1824,mumford-sons,the-wild,13314,,
1825,frank-ocean,skyline-to,121872,,
1826,linkin-park,faint,1001686,,
1827,lady-gaga,paparazzi,1053319,,
1828,coolio,gangstas-paradise,674238,,
1829,lady-gaga,is-that-alright,26079,,
1830,kanye-west,runaway,285434,,
1831,pusha-t,the-games-we-play,55741,,
1832,muse,propaganda-acoustic-version,13161,,
1833,rosalia,de-aqui-no-sales-cap-4-disputa,13183,,
1834,kodaline,all-i-want,323857,,
1835,disturbed,down-with-the-sickness,874374,,
1836,system-of-a-down,lonely-day,995765,,
1837,maroon-5,this-love,1049583,,
1838,taylor-swift,bad-blood,170910,,
1839,pearl-jam,black,783745,,
1840,sufjan-stevens,lonely-man-of-winter-doveman-mix-feat-melissa-mary-ahern,13196,,
1841,lynyrd-skynyrd,free-bird,765178,,
1842,nirvana,the-man-who-sold-the-world,901571,,
1843,radiohead,all-i-need,936763,,
1844,childish-gambino,sober,187831,,
1845,the-smashing-pumpkins,silvery-sometimes-ghosts,25351,,
1846,architects,modern-misery,13356,,
1847,lady-gaga,applause,395497,,
1848,dr-dre,still-d-r-e,810223,,
1849,muse,knights-of-cydonia,1044518,,
1850,rex-orange-county,sunflower,48593,,
1851,lil-peep,hate-me,13048,,
1852,zayn,dusk-till-dawn-radio-edit,127191,,
1853,little-mix,motivate,13076,,
1854,counting-crows,mr-jones,763480,,
1855,rihanna,disturbia,777155,,
1856,simon-garfunkel,the-sound-of-silence,987620,,
1857,offset,ric-flair-drip-metro-boomin,65660,,
1858,martin-garrix,dreamer,13037,,
1859,gorillaz,dare,1037763,,
1860,led-zeppelin,good-times-bad-times,707306,,
1861,daughters,daughter,14619,,
1862,macklemore-ryan-lewis,cant-hold-us-feat-ray-dalton,601476,,
1863,band-of-horses,the-funeral,817140,,
1864,van-morrison,brown-eyed-girl,779447,,
1865,adele,send-my-love-to-your-new-lover,245264,,
1866,metallica,master-of-puppets,854254,,
1867,miley-cyrus,malibu,155015,,
