Name,titre,Listeners,,
Muse,Uprising,968911,,
Kids See Ghosts,Feel the Love,73619,,
The Rolling Stones,Paint It Black,1212797,,
Lady Gaga,Bad Romance,1118910,,
Sia,Chandelier,593433,,
Queen,Love Of My Life - Remastered 2011,57178,,
Bon Iver,Skinny Love,1064320,,
Pink Floyd,Wish You Were Here,1071892,,
Daughters,City Song,22935,,
Ariana Grande,Pete Davidson,60675,,
Taylor Swift,Shake It Off,353665,,
Red Hot Chili Peppers,Snow (Hey Oh),813295,,
Sia,Cheap Thrills,356532,,
Gorillaz,Clint Eastwood,1216031,,
Anderson .Paak,Brother's Keeper (feat. Pusha T),20594,,
Troye Sivan,My My My!,102134,,
The Prodigy,Need Some1,31316,,
The Weeknd,Call Out My Name,140677,,
Tame Impala,Feels Like We Only Go Backwards,518895,,
ABBA,Dancing Queen,723799,,
Anderson .Paak,"Anywhere (feat. Snoop Dogg & the Last Artful, Dodgr)",20369,,
Queen,I Want To Break Free - Single Remix,104653,,
The Beatles,Here Comes The Sun - Remastered 2009,147480,,
Frank Ocean,self control,143811,,
The Prodigy,Light Up the Sky,27448,,
Kendrick Lamar,King Kunta,341365,,
Gucci Mane,Wake Up in the Sky,43079,,
Kids See Ghosts,4th Dimension,66906,,
Anderson .Paak,Trippy (feat. J. Cole),20227,,
Ariana Grande,Santa Tell Me,133712,,
Muse,Supermassive Black Hole,1347672,,
Goo Goo Dolls,Iris,1288571,,
The Smashing Pumpkins,1979 - Remastered 2012,42937,,
Kanye West,Power,625978,,
Imagine Dragons,Demons,746424,,
Foo Fighters,The Pretender,1208199,,
Anderson .Paak,Mansa Musa (feat. Dr. Dre & Cocoa Sarai),20009,,
The Prodigy,We Live Forever,22486,,
Red Hot Chili Peppers,Otherside,1350337,,
Anitta,Veneno,19678,,
LIL PEEP,Sex With My Ex,19946,,
Jennie,SoLo,19641,,
Robyn,Honey,32971,,
Mariah Carey,A No No,19612,,
Travi$ Scott,goosebumps,127992,,
Queen,Crazy Little Thing Called Love - Remastered 2011,82707,,
Lana Del Rey,Mariners Apartment Complex,61222,,
Imagine Dragons,whAtEveR it tAkes,155557,,
Queen,Crazy Little Thing Called Love - Remastered 2011,82707,,
Twenty One Pilots,Ride,299606,,
AC/DC,Back in Black,1086250,,
Smash Mouth,All Star,726325,,
Coldplay,Fix You,1476213,,
M.I.A.,Paper Planes,1125255,,
Jennie,SoLo,19641,,
Little Mix,Strip (feat. Sharaya J),19336,,
BLACKPINK,DDU-DU DDU-DU,45704,,
Nirvana,Heart-Shaped Box,1128274,,
Travi$ Scott,Butterfly Effect,126378,,
Papa Roach,Last Resort,874894,,
Rihanna,Love On The Brain,186568,,
LIL PEEP,Cry Alone,26036,,
Kanye West,All Mine,106593,,
Lady Gaga,Poker Face,1422187,,
Travi$ Scott,YOSEMITE,56414,,
Florence + the Machine,Dog Days Are Over,1111453,,
Joji,TEST DRIVE,29052,,
Imagine Dragons,"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""",32479,,
King Princess,1950,84112,,
Oasis,Wonderwall - Remastered,155813,,
"Tyler, the Creator",911 / Mr. Lonely,113609,,
Imagine Dragons,Bullet In A Gun,19078,,
Lana Del Rey,Summertime Sadness,747374,,
Nirvana,Lithium,1431116,,
Kanye West,Stronger,1341116,,
Kanye West,Ghost Town,85614,,
Ariana Grande,Santa Tell Me,133712,,
Tyga,Taste (feat. Offset),71999,,
blink-182,I MISS YOU,1036539,,
Ariana Grande,Successful,56355,,
Red Hot Chili Peppers,Scar Tissue,1360750,,
Anderson .Paak,Cheers (feat. Q-Tip),19036,,
Metro Boomin,Overdue (with Travis Scott),18893,,
Aerosmith,Dream On,964577,,
Lana Del Rey,Born to Die,799725,,
Ariana Grande,Better Off,54399,,
Simple Minds,Don't You (Forget About Me),666922,,
Depeche Mode,Enjoy the Silence,874094,,
Lorde,Homemade Dynamite,148367,,
Mumford & Sons,If I Say,23460,,
Ariana Grande,raindrops (an angel cried),66484,,
Muse,Starlight,1341181,,
